        m110115_1035     798.303 (0.011)     316.375 (0.012)    91
        m110115_1035     981.910 (0.018)     300.876 (0.019)    92
        m110115_1035    1165.711 (0.008)     285.553 (0.009)    93
        m110115_1035    1349.456 (0.008)     270.363 (0.008)    94
        m110115_1035    1533.308 (0.009)     254.825 (0.009)    95
        m110115_1035    1717.431 (0.009)     239.281 (0.010)    96
        m110115_1035     414.802 (0.011)     162.392 (0.010)    97
        m110115_1035     598.905 (0.010)     147.337 (0.009)    98
        m110115_1035     782.718 (0.011)     132.176 (0.011)    99
        m110115_1035     966.546 (0.009)     116.827 (0.010)   100
        m110115_1035    1150.438 (0.008)     101.530 (0.008)   101
        m110115_1035    1334.374 (0.011)      86.188 (0.012)   102
