-0.9495	4.7502	936.683 1973.613 PY104
0.0006	4.75	1120.463 1958.305 PY103
0.9506	4.7499	1304.267 1943.079 PY102
1.9004	4.7497	1488.243 1927.974 PY101
2.8505	4.7494	1672.299 1912.943 PY100
-3.7997	3.8001	369.677 1836.012 PY99
-1.8998	3.7999	737.698 1804.888 PY97
-0.9502	3.8003	921.425 1789.580 PY96
0.0003	3.8	1105.182 1774.271 PY95
0.9505	3.7996	1288.890 1758.959 PY94
2.8504	3.7996	1656.474 1728.554 PY92
3.8006	3.7991	1840.763 1713.594 PY91
-4.7496	2.8505	170.229 1667.512 PY90
-3.7996	2.8502	354.612 1651.757 PY89
-2.8496	2.8502	538.613 1636.362 PY88
-1.8994	2.8502	722.415 1621.017 PY87
-0.9496	2.8502	906.194 1605.741 PY86
0.0004	2.8502	1089.936 1590.391 PY85
0.9506	2.84999	1273.676 1575.132 PY84
1.9004	2.85	1457.427 1559.870 PY83
2.8505	2.85	1641.174 1544.723 PY82
3.8006	2.8494	1825.110 1529.468 PY81
-4.7499	1.9	155.336 1483.435 PY80
-3.7995	1.9003	339.500 1467.932 PY79
-2.8495	1.9002	523.503 1452.660 PY78
-1.8997	1.9006	707.194 1437.296 PY77
-0.9496	1.9001	890.884 1422.028 PY76
0.0005	1.9002	1074.682 1406.688 PY75
0.9504	1.9003	1258.389 1391.420 PY74
1.9004	1.9	1442.096 1376.050 PY73
2.8503	1.9001	1625.891 1360.761 PY72
3.7999	1.9003	1809.719 1345.542 PY71
4.7504	1.8994	1993.886 1330.404 PY70
-4.7495	0.9505	140.171 1299.505 PY69
-3.7994	0.9505	324.283 1284.116 PY68
-2.8497	0.9502	508.143 1268.831 PY67
-1.8998	0.9503	691.915 1253.557 PY66
-0.9496	0.9503	875.599 1238.275 PY65
0.0004	0.95	1059.395 1223.031 PY64
0.9503	0.95	1243.110 1207.702 PY63
1.9001	0.9496	1426.831 1192.361 PY62
2.8505	0.9497	1610.600 1177.127 PY61
3.8007	0.9498	1794.294 1161.790 PY60
4.7504	0.9497	1978.383 1146.556 PY59
-4.7495	0.0006	124.941 1115.716 PY58
-3.7998	0.0007	309.094 1100.413 PY57
-2.8495	0.0004	492.861 1085.089 PY56
-1.8995	0.0004	676.579 1069.849 PY55
-0.9498	0.0001	860.346 1054.569 PY54
0	0	1044.130 1039.232 PY53
0.9502	0.0001	1227.846 1023.966 PY52
1.9003	0.0002	1411.536 1008.603 PY51
2.8503	0.0001	1595.234 993.301 PY50
3.8002	0	1779.031 978.001 PY49
4.7504	0.0001	1963.039 962.683 PY48
-4.7496	-0.9497	109.594 931.984 PY47
-3.7995	-0.9496	293.642 916.722 PY46
-2.85	-0.9499	477.529 901.435 PY45
-1.9	-0.9497	661.330 886.129 PY44
-0.9498	-0.95	845.046 870.810 PY43
-0.0001	-0.95	1028.799 855.480 PY42
0.9503	-0.9501	1212.549 840.144 PY41
1.9002	-0.9501	1396.245 824.902 PY40
2.8502	-0.95	1579.985 809.618 PY39
3.8	-0.9496	1763.682 794.263 PY38
4.7502	-0.95	1947.769 778.887 PY37
-4.7497	-1.8994	94.185 748.168 PY36
-3.7997	-1.8994	278.393 732.876 PY35
-2.8498	-1.8992	462.251 717.657 PY34
-1.8991	-1.8991	646.058 702.400 PY33
-0.9496	-1.8997	829.752 687.041 PY32
0.0002	-1.8998	1013.466 671.749 PY31
0.9502	-1.8998	1197.203 656.486 PY30
1.9003	-1.8998	1380.936 641.095 PY29
2.8504	-1.8999	1564.654 625.852 PY28
3.8002	-1.8998	1748.443 610.512 PY27
4.75	-1.9002	1932.615 595.046 PY26
-3.7999	-2.8491	262.928 549.063 PY25
-2.8499	-2.8495	446.887 533.942 PY24
-1.8998	-2.8496	630.701 518.659 PY23
-0.9499	-2.8495	814.429 503.316 PY22
0.0002	-2.8495	998.156 488.005 PY21
0.9502	-2.8497	1181.914 472.734 PY20
1.9002	-2.84998	1365.588 457.438 PY19
2.8504	-2.8497	1549.364 442.146 PY18
3.8003	-2.8496	1733.307 426.624 PY17
4.7503	-2.8498	1917.595 410.964 PY16
-3.7995	-3.7996	247.208 365.134 PY15
-2.8499	-3.7995	431.364 350.016 PY14
-1.8998	-3.7998	615.266 334.800 PY13
-0.9497	-3.7998	799.119 319.614 PY12
0.0002	-3.8	982.871 304.288 PY11
0.9501	-3.8001	1166.634 288.925 PY10
1.9003	-3.7997	1350.315 273.655 PY9
2.8504	-3.7998	1534.161 258.131 PY8
3.7999	-3.7999	1718.272 242.536 PY7
-2.85	-4.7494	415.728 165.789 PY6
-1.9002	-4.7498	599.826 150.702 PY5
-0.9498	-4.7498	783.690 135.488 PY4
-0.0001	-4.7499	967.490 120.204 PY3
0.9498	-4.7497	1151.272 104.873 PY2
1.8999	-4.7502	1335.117 89.430 PY1
